Lexeme: rakho,		Token: TK_INCLUDE,		Line number: 10
Lexeme: andarbahar,		Token: IDENTIFIER,		Line number: 10
Lexeme: int,		Token: TK_TYPE,		Line number: 12
Lexeme: fact,		Token: IDENTIFIER,		Line number: 12
Lexeme: (,		Token: TK_RND_BO,		Line number: 12
Lexeme: int,		Token: TK_TYPE,		Line number: 12
Lexeme: n,		Token: IDENTIFIER,		Line number: 12
Lexeme: ),		Token: TK_RND_BC,		Line number: 12
Lexeme: {,		Token: TK_CURLY_BO,		Line number: 12
Lexeme: agar,		Token: TK_COND_IF,		Line number: 13
Lexeme: (,		Token: TK_RND_BO,		Line number: 13
Lexeme: n,		Token: IDENTIFIER,		Line number: 13
Lexeme: <=,		Token: TK_LE_T,		Line number: 13
Lexeme: 1,		Token: TK_INTEGER,		Line number: 13
Lexeme: ),		Token: TK_RND_BC,		Line number: 13
Lexeme: {,		Token: TK_CURLY_BO,		Line number: 13
Lexeme: waapas,		Token: TK_RETURN,		Line number: 14
Lexeme: 1,		Token: TK_INTEGER,		Line number: 14
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 14
Lexeme: },		Token: TK_CURLY_BC,		Line number: 15
Lexeme: ya,		Token: TK_ELSE,		Line number: 15
Lexeme: {,		Token: TK_CURLY_BO,		Line number: 15
Lexeme: waapas,		Token: TK_RETURN,		Line number: 16
Lexeme: n,		Token: IDENTIFIER,		Line number: 16
Lexeme: *,		Token: TK_MULT,		Line number: 16
Lexeme: fact,		Token: IDENTIFIER,		Line number: 16
Lexeme: (,		Token: TK_RND_BO,		Line number: 16
Lexeme: n,		Token: IDENTIFIER,		Line number: 16
Lexeme: -,		Token: TK_MINUS,		Line number: 16
Lexeme: 1,		Token: TK_INTEGER,		Line number: 16
Lexeme: ),		Token: TK_RND_BC,		Line number: 16
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 16
Lexeme: },		Token: TK_CURLY_BC,		Line number: 17
Lexeme: },		Token: TK_CURLY_BC,		Line number: 18
Lexeme: shuru,		Token: TK_START,		Line number: 19
Lexeme: int,		Token: TK_TYPE,		Line number: 20
Lexeme: x,		Token: IDENTIFIER,		Line number: 20
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 20
Lexeme: x,		Token: IDENTIFIER,		Line number: 21
Lexeme: =,		Token: TK_ASSIGNMENT,		Line number: 21
Lexeme: 1,		Token: TK_INTEGER,		Line number: 21
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 21
Lexeme: jab_tak,		Token: TK_WHILE,		Line number: 22
Lexeme: (,		Token: TK_RND_BO,		Line number: 22
Lexeme: x,		Token: IDENTIFIER,		Line number: 22
Lexeme: <=,		Token: TK_LE_T,		Line number: 22
Lexeme: 10,		Token: TK_INTEGER,		Line number: 22
Lexeme: ),		Token: TK_RND_BC,		Line number: 22
Lexeme: tab_tak,		Token: TK_TILL,		Line number: 22
Lexeme: {,		Token: TK_CURLY_BO,		Line number: 22
Lexeme: dikhao,		Token: TK_PRINT,		Line number: 23
Lexeme: x,		Token: IDENTIFIER,		Line number: 23
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 23
Lexeme: dikhao,		Token: TK_PRINT,		Line number: 24
Lexeme: (,		Token: TK_RND_BO,		Line number: 24
Lexeme: fact,		Token: IDENTIFIER,		Line number: 24
Lexeme: (,		Token: TK_RND_BO,		Line number: 24
Lexeme: x,		Token: IDENTIFIER,		Line number: 24
Lexeme: ),		Token: TK_RND_BC,		Line number: 24
Lexeme: ),		Token: TK_RND_BC,		Line number: 24
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 24
Lexeme: x,		Token: IDENTIFIER,		Line number: 25
Lexeme: =,		Token: TK_ASSIGNMENT,		Line number: 25
Lexeme: x,		Token: IDENTIFIER,		Line number: 25
Lexeme: +,		Token: TK_PLUS,		Line number: 25
Lexeme: 1,		Token: TK_INTEGER,		Line number: 25
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 25
Lexeme: },		Token: TK_CURLY_BC,		Line number: 26
Lexeme: khatam,		Token: TK_FINISH,		Line number: 27
